ticker,market_cap,net_debt,owner_earnings_norm,oe_yield,t10,dcf_growth_used,value_oe_yield,value_dcf,value_dcf_low,value_dcf_high,value_epv,value_conservative,implied_growth,margin_of_safety,years_of_data,latest_fy_end,roic_median_10y,roic_latest,roic_trend,gross_margin,gm_sigma_10y,gm_trend,op_margin,om_sigma_10y,fcf_ni_10y,incremental_roic_5y,rev_cagr_10y,rev_cagr_5y,rev_consistency,rev_drawdown_2020,nd_ebitda,interest_coverage,altman_z_coarse,share_cagr_10y,op_income_derived,sbc_fcf_10y,buyback_timing,dividend_years_10y,buyback_years_10y,owner_earnings,owner_earnings_3y_avg,maint_capex_proxy,moat_flag,structural_decline,leverage,dilution,accruals,altman_distress,late_filing,auditor_change,restatement,going_concern,eject,eject_reasons,demote_count,demote_reasons,needs_human_review,rank_score,verdict
WBD,66664765288.73871,28140000000.0,1167000000.0,0.012309507823217205,0.045,0.1,-14410588235.294117,22117029218.15576,20284201791.791443,22117029218.15576,11670000000.0,,,,11,2025-12-31,0.05884780455595906,0.006336346180864517,-0.018268162744601617,,0.00834932745958955,-0.003144047390261704,0.019787644787644786,0.2005727930734365,,-0.03920747362941082,0.19285859022092633,0.28437376883638876,0.7,-0.04244436468054558,4.381812519464341,0.3539568345323741,0.32027395845272344,0.09254566224714011,False,0.09244987368488376,,0,2,5180000000.0,1167000000.0,"min(depreciation & amortization, capex)",False,False,True,True,False,True,False,False,False,False,True,leverage;altman_distress,1,dilution,substitution risk unassessed (cannot be automated),0.0,ejected
VMI,10615967108.106262,608523000.0,289087333.3333333,0.02575505261700539,0.045,0.049911967474310925,2792504450.9803925,4407448140.443687,4037212895.685541,4809312442.46035,2890873333.333333,2792504450.9803925,0.25724219240279866,-2.8015936212310093,11,2025-12-27,0.11143629942244539,0.17369969793441603,0.004054806350487594,0.30212114611186563,0.023999513159199175,0.006455857740625012,0.10125869191360254,0.016481886846755715,0.9804009180596258,2.1350791326947745,0.049911967474310925,0.03226438247345653,0.7,0.04639686068834714,1.207183312338197,10.250505648463323,6.799031333153848,-0.014360777157607085,False,0.11302275755808049,-0.08811163382650394,9,8,350273000.0,289087333.3333333,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,True,False,False,False,,1,auditor_change,substitution risk unassessed (cannot be automated),0.0,no moat evidence
VFC,6579660258.412228,2695927000.0,-130916000.0,-0.01411403896624114,0.045,0.0,,,,,,,,,11,2026-03-28,0.11441134297123738,0.09475725319449611,-0.015823348111207395,0.5477981890447545,0.021640290886717765,0.0029229840665675605,0.06002671259453336,0.04921001573257277,1.4248163283942512,,-0.013435128337558555,0.00780834596544544,0.5,0.021590673005361882,3.1454127766019755,3.4572497616492077,1.643216406021593,-0.007169198164581836,False,0.09180968428826154,0.0075342783957363935,10,5,420742000.0,-130916000.0,"min(depreciation & amortization, capex)",False,False,True,False,False,False,False,False,False,False,True,leverage,0,,substitution risk unassessed (cannot be automated),0.0,ejected
NUE,51781458689.48364,4715000000.0,2765333333.3333335,0.04894702070677003,0.045,0.07051325466008151,27818333333.33334,46125110162.00879,42271537073.402245,50304949835.26033,27653333333.333332,27653333333.333332,0.09720913935846057,-0.872521408732533,11,2025-12-31,0.1135867529178106,0.08471070641370974,0.011752510986200726,0.11934510986643689,0.07855497408206374,0.009362445943678983,0.08426170985412691,0.07668334095651441,0.8774926805504079,0.09618250225598644,0.07051325466008151,0.10039907578586948,0.5,-0.1084251359674756,1.189455095862765,16.105882352941176,6.5937314331142645,-0.03227013063878337,True,0.04171984676658246,0.4895229788470384,10,10,1744000000.0,2765333333.3333335,"min(depreciation & amortization, capex)",False,True,False,False,False,False,False,False,False,False,False,,1,structural_decline,substitution risk unassessed (cannot be automated),0.0,no moat evidence
NVR,17489765960.92383,-1956881000.0,1537785666.6666667,0.09900193496155307,0.045,0.07183517885221868,20048477078.431374,25797791648.130936,23643254388.104916,28134639470.556885,15377856666.666666,15377856666.666666,-0.016483177501113257,-0.13733443743398754,11,2025-12-31,,,,,,,,,0.9198668886464771,,0.07183517885221868,0.06495299325159976,0.8,0.020065738542177636,,,,-0.03214301225499516,False,0.06908365317206433,0.07440071813962956,0,10,1339818000.0,1537785666.6666667,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
MSA,6586243647.852066,415867000.0,217915333.33333334,0.031121378151911953,0.045,0.05194000694531464,2147842803.921569,3351956006.528589,3070532682.8684444,3657400050.9327583,2179153333.3333335,2147842803.921569,0.21009693703583515,-2.066445847818466,11,2025-12-31,0.12978507204932827,0.1587600880974732,0.0060559950937782315,0.4646396922574719,0.013328346456598882,0.0021467845597817957,0.1983226069359414,0.05948007060811726,1.2219817954161747,0.19458612729805794,0.05194000694531464,0.06816733084360371,0.9,-0.038344314223944576,0.9378857894178964,11.692757633887858,5.650134340367206,0.004255931520847911,False,0.0956481692255746,,10,0,282077000.0,217915333.33333334,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
MSCI,43979103756.33838,5686954000.0,1153341666.6666667,0.023221928994746465,0.045,0.1,7881771490.196081,21858175955.59823,20046799572.877235,21858175955.59823,11533416666.666666,7881771490.196081,0.26644856438842623,-4.579850140421195,11,2025-12-31,0.3680448711194504,0.4546762209753242,0.023058085143530645,,0.02663724602480065,0.01395602593455323,0.5466866850068863,0.0562225952562506,1.2434044906563368,0.4277199395343338,0.11294803679529042,0.13078124117012369,1.0,0.08832607093611733,3.274061988333721,8.164158197904607,4.575920967919435,-0.035431132775810226,False,0.06627169108468099,-0.26021433847945485,10,10,1202305000.0,1153341666.6666667,"min(depreciation & amortization, capex)",False,False,True,False,False,False,False,False,False,False,True,leverage,0,,substitution risk unassessed (cannot be automated),0.0,ejected
OGE,10040111031.552223,5369000000.0,443000000.0,0.028749224993764925,0.045,0.03803092097301186,-157235294.11764622,6411358360.612701,5871148301.287816,6997956425.346529,4430000000.0,,0.1417395000889134,,11,2025-12-31,0.06173068258814367,0.06488550040207525,1.1196715602187705e-05,0.6051584192547557,,,0.25052493027045664,,-0.1072128112959814,0.11488750567539899,0.03803092097301186,0.09042791839497744,0.4444444444444444,-0.04858653183176276,3.950117716303708,2.9574546799852017,1.6393868452924754,0.0014434931015854247,False,,,10,0,470700000.0,443000000.0,"min(depreciation & amortization, capex)",False,False,True,False,True,False,False,False,False,False,True,leverage,1,accruals,substitution risk unassessed (cannot be automated),0.0,ejected
OGS,4968909622.68837,2652074000.0,-317163000.0,-0.0416170688329229,0.045,0.1,,,,,,,,,7,2022-12-31,0.06420784266072391,0.05523987228819271,-0.0018945445614321219,0.4340247594554704,0.08375691663971249,-0.0402113357181361,0.13574721538554038,0.0242687908932002,-1.0345910849866438,0.041818348739895574,0.10356570795065889,0.10859600409148684,0.8333333333333334,-0.07409679742002628,7.5782853321979555,4.5152246277707535,,0.0042808436569747865,False,,,7,2,-387744000.0,-317163000.0,"min(depreciation & amortization, capex)",False,False,True,False,True,False,False,False,False,False,True,leverage,1,accruals,substitution risk unassessed (cannot be automated),0.0,ejected
OHI,14383836372.795105,4228987000.0,677210333.3333334,0.03638407348361551,0.045,0.03142574199289516,3738193392.156864,9520670080.743896,8717141402.403551,10393394844.833748,6772103333.333333,3738193392.156864,0.12653341908535343,-2.847804236927377,10,2025-12-31,0.06518458737457235,0.08707721327280712,0.002825015847761812,,,,0.7051934334874662,0.12186783809980525,1.7972185584960365,0.7915650303384516,0.03142574199289516,0.05926971322189867,0.6666666666666666,-0.03924184188710533,3.6315997379125924,3.9028530239263377,3.2590021000669607,0.04703895702818639,True,0.03986391599542899,,10,1,834563000.0,677210333.3333334,"min(depreciation & amortization, capex)",False,False,True,True,False,False,False,False,False,False,True,leverage,1,dilution,substitution risk unassessed (cannot be automated),0.0,ejected
OKE,56652552898.21539,31918000000.0,3029000000.0,0.03419872520702116,0.045,0.1,3717294117.647064,57405725365.71878,52648540897.460396,57405725365.71878,30290000000.0,3717294117.647064,0.09693889444220771,-14.240266469437925,11,2025-12-31,0.08188216925697013,0.08136645975446707,-0.0004975783049661757,0.3049748728775759,0.0644133801020734,0.006964804179001291,0.17071575128609237,0.039200825094692186,0.667596134552933,0.09774686632677639,0.15788994951671098,0.3153108920107406,0.7,-0.15958937728242206,4.399448656099242,3.2198541783510937,,0.09638424731977557,False,0.05001346905445771,-0.358974358974359,10,2,3393000000.0,3029000000.0,"min(depreciation & amortization, capex)",False,False,True,True,False,False,False,False,False,False,True,leverage,1,dilution,substitution risk unassessed (cannot be automated),0.0,ejected
URI,68632438580.26392,15420000000.0,2499500000.0,0.029737388256893472,0.045,0.0,13985882352.941177,30587121590.852364,27985993494.9652,33415272071.36569,24995000000.0,13985882352.941177,0.18714014004551427,-3.907265544517524,11,2025-12-31,0.10356819632184672,0.12171735198080405,0.004407894027971028,1.6627875507442489,0.6726922926116531,0.16676471223884906,1.0752368064952638,0.43375754013321344,0.9768042785890271,0.16294031431032638,-0.04436612101182691,0.1313001839740795,0.7,-0.033446437227338865,3.495805939696214,,3.0275181920339023,-0.03921171448468608,False,0.061519532451553366,-0.06587671039638882,3,10,,2499500000.0,"min(depreciation & amortization, capex)",False,False,True,False,False,False,False,False,False,False,True,leverage,0,,substitution risk unassessed (cannot be automated),0.0,ejected
NWS,16781242089.874802,-441000000.0,599333333.3333334,0.036678363150121816,0.045,0.0,7491980392.156864,7334219459.938993,6710517610.715136,8012357029.314598,5993333333.333333,5993333333.333333,0.19179705455226742,-1.7999847758411796,11,2025-06-30,0.025463480008934558,0.07776311052442098,0.00917265997207337,,,,0.1092049219119735,0.09018060868971575,,2.1526263627353814,-0.0008479017762196284,-0.012661158818427554,0.6,-0.10581695453643036,-0.3191027496382055,,,-0.0022015667575387976,True,0.13043478260869565,-0.044992743105950694,10,4,1232000000.0,599333333.3333334,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,True,False,False,False,,1,auditor_change,substitution risk unassessed (cannot be automated),0.0,no moat evidence
AXTA,6957755055.076332,2542000000.0,470866666.6666667,0.049566190279301175,0.045,0.02215641716227479,2997607843.1372557,6355051072.973821,5817465032.273802,6939116184.121,4708666666.666667,2997607843.1372557,0.04276828333417282,-1.3211024987826425,11,2025-12-31,0.07816609916297801,0.10437649502706785,0.004974344123056769,0.3443423881180379,0.02547536673610117,-0.004991622206034917,0.1436388508891929,0.019948037070125022,1.9029373630795368,0.22226203172910275,0.02215641716227479,0.0648403982385346,0.6,-0.16612377850162863,2.4679611650485436,4.176136363636363,3.253039245766865,-0.009899750431718757,False,0.0690270892559265,0.1479663977376695,0,9,477000000.0,470866666.6666667,"min(depreciation & amortization, capex)",False,False,False,False,False,False,False,False,False,False,False,,0,,substitution risk unassessed (cannot be automated),0.0,no moat evidence
BA,175223841172.39688,51388000000.0,-3823333333.3333335,-0.016871727944810705,0.045,0.0,,,,,,,,,11,2025-12-31,-0.028278763490031094,0.0639669053010018,-0.2532590739056701,0.04794160714485318,0.09011625372256107,-0.016160854827210604,0.0478521847020556,0.10878285125417832,,0.7942637511255308,-0.007145335328892277,0.0899505600378272,0.6,-0.24035057929178805,8.243182547321142,1.544929628293035,1.3337602933858632,0.009285680234197402,False,2.012093023255814,0.01519319744904335,6,4,2235000000.0,-3823333333.3333335,"min(depreciation & amortization, capex)",False,False,True,True,False,False,False,False,False,False,True,leverage,1,dilution,substitution risk unassessed (cannot be automated),0.0,ejected
