ticker,name,sector,earnings_date,session,implied_move_mid,implied_move_ask,fair_move,ci_low,ci_high,edge,z,score,structure,detail,entry_side,entry_price,max_gain,max_loss,spread_pct,spread_cost_pct_of_edge,open_interest,conf_mult,n_events,screened,screen_reason,flags,spot,expiry,atm_strike,straddle_bid,straddle_mid,straddle_ask
CCI,Crown Castle,Real Estate,2026-07-22,AMC,0.09163946352505976,0.09791613910896797,0.03669203360786442,0.02874136567799143,0.0446427015377374,1.497530240608363,8.857196251057935,0.0,screened out,,,,,,0.136986301369863,22.84611161383535,752,0.8333333333333333,12,True,spread > 10%,spread > 10%,79.66000366210938,2026-08-21,80.0,6.8,7.3,7.8
CDNS,Cadence Design Systems,Information Technology,2026-07-27,AMC,0.1106281034815712,0.11869744750022698,0.0600250847497021,0.04976454444179007,0.07028562505761413,0.8430311917572136,6.320605627050131,0.0,screened out,,,,,,0.14588235294117638,31.892737709633167,16,0.8333333333333333,12,True,spread > 10%,spread > 10%,384.1700134277344,2026-07-31,385.0,39.4,42.5,45.599999999999994
CFG,Citizens Financial Group,Financials,2026-07-16,BMO,0.049758319337793684,0.060420816338749475,0.03381062754967394,0.027138838415343498,0.04048241668400438,0.47167689403841123,3.0634304208574794,0.0,screened out,,,,,,0.42857142857142855,133.71837307388688,2517,0.8333333333333333,12,True,spread > 10%,spread > 10%,70.33999633789062,2026-07-17,70.0,2.75,3.5,4.25
CHTR,Charter Communications,Communication Services,2026-07-24,BMO,0.14113057907882573,0.15910656069591192,0.10212438612971049,0.08292059500143559,0.12132817725798539,0.3819478816702271,2.6031493755408692,0.0,screened out,,,,,,0.2547425474254742,92.16988512842774,14,0.8333333333333333,12,True,spread > 10%,spread > 10%,130.72999572753906,2026-07-24,131.0,16.1,18.450000000000003,20.8
CME,CME Group,Financials,2026-07-22,BMO,0.05431389590022059,0.058683979478399255,0.017795813940180705,0.012983751026812582,0.022607876853548828,2.0520602251064597,9.725885692385752,0.0,screened out,,,,,,0.16091954022988503,23.933806725997577,88,0.8333333333333333,12,True,spread > 10%,spread > 10%,240.27000427246094,2026-07-24,240.0,12.0,13.05,14.1
CMCSA,Comcast,Communication Services,2026-07-23,BMO,0.0770046679465405,0.08400509230531691,0.054219521670572535,0.046131411812753466,0.062307631528391604,0.4202387917474847,3.610416275324259,0.0,screened out,,,,,,0.18181818181818185,61.447262826308254,167,0.8333333333333333,12,True,spread > 10%,spread > 10%,23.56999969482422,2026-07-24,23.5,1.65,1.815,1.98
CINF,Cincinnati Financial,Financials,2026-07-27,AMC,0.07111780503577492,0.08366800592444108,0.03516787234170431,0.02935833503420297,0.04097740964920564,1.022237920587504,7.930654594683538,0.0,screened out,,,,,,0.35294117647058826,69.82044164291926,22,0.8333333333333333,12,True,spread > 10%,spread > 10%,179.27999877929688,2026-08-21,185.0,10.5,12.75,15.0
COF,Capital One,Financials,2026-07-21,AMC,0.06525406769156682,0.07096069718550613,0.03192787806284867,0.024054053173186908,0.03980170295251043,1.0437959441938784,5.424408750090951,0.0,screened out,,,,,,0.17490494296577952,34.24711650216223,28,0.8333333333333333,12,True,spread > 10%,spread > 10%,201.52000427246094,2026-07-24,202.5,12.0,13.15,14.3
CSX,CSX Corporation,Industrials,2026-07-22,AMC,0.051608986194594336,0.056668690723476134,0.03376054855844403,0.027540207977136945,0.03998088913975111,0.5286773585817859,3.6773802616582114,0.0,screened out,,,,,,0.19607843137254904,56.69632975195374,47,0.8333333333333333,12,True,spread > 10%,spread > 10%,49.40999984741211,2026-07-24,49.0,2.3,2.55,2.8
CTAS,Cintas,Industrials,2026-07-15,BMO,0.04982186612340711,0.058450233999527895,0.03871275310813893,0.030085560987307514,0.04733994522897035,0.2869626188619639,1.6502981550613263,0.0,screened out,,,,,,0.34636871508379896,155.33855608925938,282,0.8333333333333333,12,True,spread > 10%,spread > 10%,179.63999938964844,2026-07-17,180.0,7.3999999999999995,8.95,10.5
DECK,Deckers Brands,Consumer Discretionary,2026-07-23,AMC,0.08538541543921999,0.10472686313539688,0.11193444808932711,0.09505156105967612,0.12881733511897808,-0.23718375444992754,-2.015368590965492,0.0,screened out,,,,,,0.45303867403314907,145.70359644421063,415,0.8333333333333333,12,True,spread > 10%,spread > 10%,105.98999786376953,2026-07-24,106.0,7.0,9.05,11.1
DHR,Danaher Corporation,Health Care,2026-07-21,BMO,0.06882692685233302,0.07385079012622595,0.04414486050654961,0.03798971880446244,0.05030000220863678,0.559115286866099,5.139205197831536,0.0,screened out,,,,,,0.14598540145985403,40.708611698154506,708,0.8333333333333333,12,True,spread > 10%,spread > 10%,199.0500030517578,2026-07-24,195.0,12.7,13.7,14.7
DGX,Quest Diagnostics,Health Care,2026-07-23,BMO,0.07785383633786712,0.08918241314244842,0.05514479844622707,0.04910790347014908,0.06118169342230506,0.4118074330035704,4.8210053474930445,0.0,screened out,,,,,,0.29102167182662536,99.77152584479776,1105,0.8333333333333333,12,True,spread > 10%,spread > 10%,207.44000244140625,2026-08-21,210.0,13.8,16.15,18.5
DLR,Digital Realty,Real Estate,2026-07-23,AMC,0.056815031272862596,0.06152652167109999,0.03195375044427669,0.025116002524783482,0.0387914983637699,0.7780395253427559,4.659753165085563,0.0,screened out,,,,,,0.16585365853658546,37.902233844847125,67,0.8333333333333333,12,True,spread > 10%,spread > 10%,180.41000366210938,2026-07-24,180.0,9.4,10.25,11.100000000000001
DHI,D. R. Horton,Consumer Discretionary,2026-07-21,BMO,0.06828077500312817,0.07454809251549259,0.061548093821640046,0.04831635621214508,0.07477983143113501,0.10938894713780621,0.6521142163523084,0.0,screened out,,,,,,0.18357487922705334,186.1759778436194,46,0.8124999999999999,12,True,spread > 10%,spread > 10%,151.5800018310547,2026-07-24,150.0,9.399999999999999,10.35,11.3
DOV,Dover Corporation,Industrials,2026-07-23,BMO,0.08637904538074233,0.09659592171609895,0.04695269563474504,0.04103488199200514,0.052870509277484934,0.8397036466809747,8.538425318015882,0.0,screened out,,,,,,0.23655913978494633,51.82765536844495,13,0.8333333333333333,12,True,spread > 10%,spread > 10%,215.3300018310547,2026-08-21,220.0,16.4,18.6,20.8
DOW,Dow Inc.,Materials,2026-07-23,BMO,0.07785049764189822,0.08784016326851347,0.04590928980499284,0.03342140669201307,0.05839717291797261,0.695746067355449,3.278045733886607,0.0,screened out,,,,,,0.25663716814159276,62.550331080924465,573,0.8333333333333333,12,True,spread > 10%,spread > 10%,29.030000686645508,2026-07-24,29.0,1.9700000000000002,2.26,2.55
DPZ,Domino's,Consumer Discretionary,2026-07-20,BMO,0.10719295036383954,0.1215521306306467,0.04966149842982127,0.03832732676268247,0.06099567009696007,1.1584719300268067,6.505310750887084,0.0,screened out,,,,,,0.2679127725856697,49.91767036672543,229,0.8333333333333333,12,True,spread > 10%,spread > 10%,299.4599914550781,2026-08-21,300.0,27.8,32.1,36.4
ELV,Elevance Health,Health Care,2026-07-15,BMO,0.0666698682640438,0.07471830281123468,0.04444086202334573,0.03579322330963147,0.05308850073705999,0.5001929582063618,3.2943899879742333,0.0,screened out,,,,,,0.24144144144144156,72.41380437831151,785,0.8333333333333333,12,True,spread > 10%,spread > 10%,416.2300109863281,2026-07-17,420.0,24.4,27.75,31.1
EFX,Equifax,Industrials,2026-07-21,BMO,0.12707281716993288,0.1459985558973697,0.05524773641690625,0.04538445958815695,0.06511101324565556,1.3000547246139766,9.332702010833785,0.0,screened out,,,,,,0.29787234042553196,52.6995264857793,51,0.8333333333333333,12,True,spread > 10%,spread > 10%,166.44000244140625,2026-08-21,165.0,18.0,21.15,24.3
EQR,Equity Residential,Real Estate,2026-07-22,AMC,0.07206288868925918,0.09390012768600439,0.025557250763217836,0.02116380031796923,0.029950701208466442,1.8196651258347616,13.566017486431898,0.0,screened out,,,,,,0.6060606060606061,93.91222213303823,458,0.8333333333333333,12,True,spread > 10%,spread > 10%,68.69000244140625,2026-08-21,67.5,3.4499999999999997,4.95,6.45
EQT,EQT Corporation,Energy,2026-07-21,AMC,0.059774822747372384,0.06550665506561358,0.028593666815057338,0.024465569103342497,0.03272176452677218,1.0904916859384801,9.68043206183086,0.0,screened out,,,,,,0.19178082191780824,36.76471988840491,57,0.8333333333333333,12,True,spread > 10%,spread > 10%,48.849998474121094,2026-07-24,49.0,2.64,2.92,3.2
EW,Edwards Lifesciences,Health Care,2026-07-23,AMC,0.08838520855567808,0.0965188167049736,0.05794184690271284,0.04069953446185868,0.07518415934356701,0.5254123449685875,2.262817845824132,0.0,screened out,,,,,,0.18404907975460122,53.43436274885431,949,0.8333333333333333,12,True,spread > 10%,spread > 10%,92.20999908447266,2026-08-21,92.5,7.4,8.15,8.9
FAST,Fastenal,Industrials,2026-07-14,BMO,0.05861475374525881,0.06453000412322071,0.05094842906032917,0.04397843444719362,0.05791842367346472,0.1504722486310967,1.4096369167473206,0.0,screened out,,,,,,0.20183486238532103,154.3177629716105,4956,0.8333333333333333,12,True,spread > 10%,spread > 10%,46.4900016784668,2026-07-17,47.5,2.45,2.725,3.0
FCX,Freeport-McMoRan,Materials,2026-07-23,BMO,0.09281534391275206,0.09752925805192862,0.04103435998017363,0.03312911779474882,0.048939602165598436,1.2618933000928294,8.394747112282984,0.0,screened out,,,,,,0.10157618213660247,18.20712462827788,398,0.8333333333333333,12,True,spread > 10%,spread > 10%,61.52000045776367,2026-07-24,62.0,5.42,5.71,6.0
FFIV,"F5, Inc.",Information Technology,2026-07-27,AMC,0.13522618559712743,0.14242895493305688,0.0684897924807444,0.057390134261245854,0.07958945070024294,0.9743991140744904,7.705585138442265,0.0,screened out,,,,,,0.10652920962199305,21.58573156139379,132,0.8333333333333333,12,True,spread > 10%,spread > 10%,430.3900146484375,2026-08-21,430.0,55.1,58.2,61.3
FITB,Fifth Third Bancorp,Financials,2026-07-17,BMO,0.05650954997801552,0.06132819377459049,0.022278367676458362,0.017525709507679427,0.027031025845237297,1.536521113157199,9.230767641962986,0.0,screened out,,,,,,0.17054263565891484,28.153534132274316,3905,0.8333333333333333,12,True,spread > 10%,spread > 10%,57.06999969482422,2026-07-17,55.0,2.9499999999999997,3.2249999999999996,3.5
FISV,Fiserv,Financials,2026-07-22,BMO,0.07433101968860124,0.08027750126368934,0.09132752693638978,0.06483722133715764,0.11781783253562192,-0.18610497642870275,-0.8222903887298753,0.0,screened out,,,,,,0.1599999999999999,69.97298313583586,568,0.8333333333333333,12,True,spread > 10%,spread > 10%,50.45000076293945,2026-07-24,50.0,3.45,3.75,4.05
FIX,Comfort Systems USA,Industrials,2026-07-23,AMC,0.2076203424063678,0.21616204601606478,0.0766129798439211,0.061014577162643,0.0922113825251992,1.7099891275517536,10.763860844646077,0.0,screened out,,,,,,0.0822819528250137,13.040035983665325,6,0.8333333333333333,12,True,OI < 500,OI < 500; wide market,1756.0899658203125,2026-08-21,1760.0,349.6,364.6,379.6
GEV,GE Vernova,Industrials,2026-07-22,BMO,0.11002501526200492,0.11726229769805688,0.055423745188798085,0.042528082725489545,0.06831940765210662,0.9851602393019538,5.426397280862798,0.0,screened out,,,,,,0.13155703580349717,26.50957542324031,33,0.8,9,True,spread > 10%,spread > 10%,1091.5699462890625,2026-07-24,1090.0,112.19999999999999,120.1,128.0
GM,General Motors,Consumer Discretionary,2026-07-21,BMO,0.07437379721882349,0.07899807476610785,0.06135717007960345,0.05105518823285849,0.07165915192634842,0.21214516775028172,1.6193106908740398,0.0,screened out,,,,,,0.12435233160621773,71.05185541269876,218,0.8333333333333333,12,True,spread > 10%,spread > 10%,77.8499984741211,2026-07-24,78.0,5.43,5.79,6.15
GL,Globe Life,Financials,2026-07-22,AMC,0.07508513165507386,0.0815050499750244,0.03347636844353754,0.023690733329699724,0.043262003557375354,1.2429294199493344,5.449394986790098,0.0,screened out,,,,,,0.1710037174721189,30.85849145437028,75,0.8333333333333333,12,True,spread > 10%,spread > 10%,179.1300048828125,2026-08-21,180.0,12.3,13.45,14.6
GPC,Genuine Parts Company,Consumer Discretionary,2026-07-21,BMO,0.09154593017482561,0.1018946005424146,0.06981961487632078,0.05304897777012858,0.08659025198251298,0.3111778163914404,1.660309355586904,0.0,screened out,,,,,,0.22608695652173924,95.2639251102203,754,0.8124999999999999,12,True,spread > 10%,spread > 10%,125.62000274658203,2026-08-21,125.0,10.2,11.5,12.8
HAL,Halliburton,Energy,2026-07-21,BMO,0.06542599709022563,0.07327711674105271,0.040445354763898475,0.03379310677066894,0.04709760275712801,0.617639342568578,4.812687566369298,0.0,screened out,,,,,,0.24000000000000002,62.85762830487959,786,0.8333333333333333,12,True,spread > 10%,spread > 10%,34.38999938964844,2026-07-24,34.0,1.98,2.25,2.52
HIG,Hartford (The),Financials,2026-07-23,AMC,0.06016717159134064,0.07565931756994931,0.03567870507609164,0.02938275349820734,0.041974656653975935,0.6863608548298679,4.984857062145577,0.0,screened out,,,,,,0.5149700598802395,126.52606049432852,166,0.8333333333333333,12,True,spread > 10%,spread > 10%,138.77999877929688,2026-08-21,140.0,6.2,8.35,10.5
HAS,Hasbro,Consumer Discretionary,2026-07-21,BMO,0.11493161227486111,0.15577507779402663,0.06534829702473227,0.051421877236667475,0.07927471681279707,0.7587545124758662,4.5629801335606155,0.0,screened out,,,,,,0.7107438016528927,164.74681175764826,57,0.8333333333333333,12,True,spread > 10%,spread > 10%,78.95999908447266,2026-08-21,82.5,5.85,9.075,12.3
